x,y
570482.5700,7035323.0400
570482.9800,7035322.0600
570483.3800,7035321.2100
570483.7900,7035320.4100
570484.2300,7035319.6000
570484.7000,7035318.8300
570485.1900,7035318.0700
570485.7600,7035317.2400
570486.3100,7035316.5100
570486.8800,7035315.8000
570487.4800,7035315.1300
570488.0900,7035314.4700
570488.7400,7035313.8100
570489.4000,7035313.2000
570490.0700,7035312.6300
570490.8700,7035311.9900
570491.4500,7035311.5500
570492.3500,7035310.9200
570493.0800,7035310.4200
570493.7000,7035310.0400
570494.5700,7035309.5100
570495.3300,7035309.0800
570496.2400,7035308.5700
570497.0600,7035308.1200
570497.9100,7035307.6800
570498.7600,7035307.2400
570499.6300,7035306.8000
570500.4600,7035306.4400
570501.3200,7035306.0200
570502.1900,7035305.6100
570503.2100,7035305.1200
570503.9400,7035304.7800
570504.9900,7035304.3300
570505.8800,7035303.9200
570506.6200,7035303.5800
570507.6700,7035303.1000
570508.5800,7035302.6900
570509.4500,7035302.3000
570510.3600,7035301.8900
570511.2500,7035301.5000
570512.1500,7035301.0900
570513.0400,7035300.7000
570514.0600,7035300.2600
570514.9700,7035299.8600
570515.8800,7035299.4600
570516.8100,7035299.0500
570517.8800,7035298.5900
570518.7800,7035298.2200
570519.6800,7035297.8300
570520.4400,7035297.5000
570521.3500,7035297.1000
570522.3900,7035296.6600
570523.3600,7035296.2500
570524.2600,7035295.8500
570525.1600,7035295.4700
570526.0500,7035295.0900
570526.9500,7035294.7000
570527.8200,7035294.3300
570528.7000,7035293.9500
570529.5700,7035293.5600
570530.4500,7035293.1900
570531.3100,7035292.8100
570532.3200,7035292.3800
570533.1600,7035292.0000
570533.8600,7035291.7000
570534.8500,7035291.2600
570535.7000,7035290.8900
570536.4200,7035290.5800
570537.3800,7035290.1600
570538.1900,7035289.8000
570538.9900,7035289.4400
570539.7800,7035289.0800
570540.6100,7035288.7400
570541.3800,7035288.4000
570542.1600,7035288.0600
570542.9200,7035287.7200
570543.6900,7035287.3900
570544.4600,7035287.0800
570545.3400,7035286.7400
570546.0700,7035286.4800
570546.7800,7035286.2600
570547.5100,7035286.0800
570548.1600,7035285.9300
570549.0000,7035285.8100
570549.7200,7035285.7600
570550.4400,7035285.7600
570551.1600,7035285.8300
570551.9600,7035285.8900
570552.7100,7035286.0600
570553.4500,7035286.2900
570554.1800,7035286.5800
570554.8900,7035286.9200
570555.6100,7035287.2900
570556.2800,7035287.7600
570556.9200,7035288.2700
570557.5300,7035288.8300
570558.1900,7035289.5600
570558.7000,7035290.1300
570559.2800,7035290.9900
570559.7300,7035291.7800
